date,description,type,from,to,amount,currency,comment,tx_hash
2020-12-01T01:59:24Z,rebalance,none,ychad.eth,0x088ee5007C98a9677165D78dD2109AE4a3D04d0C,180,WETH,Swap ETH into YFI,0x898ab224087ec7127435a33ee114e6b392e51cdc82a4409fb9db67775bd1edca
2020-12-01T01:59:24Z,airdrop,incoming,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ychad.eth,540,ETH,Pull from treasury,0x898ab224087ec7127435a33ee114e6b392e51cdc82a4409fb9db67775bd1edca
2020-12-01T01:59:24Z,rebalance,none,0x9c57618bfCDfaE4cE8e49226Ca22A7837DE64A2d,ychad.eth,275086.58304714300000000,yyDAI+yUSDC+yUSDT+yTUSD,Swap ETH into yUSD,0x898ab224087ec7127435a33ee114e6b392e51cdc82a4409fb9db67775bd1edca
2020-12-01T01:59:24Z,rebalance,none,0x088ee5007C98a9677165D78dD2109AE4a3D04d0C,ychad.eth,4.256402968430680000,YFI,Swap ETH into YFI,0x898ab224087ec7127435a33ee114e6b392e51cdc82a4409fb9db67775bd1edca
2020-12-01T10:47:00Z,grant,outgoing,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,0,ETH,Send grants,0x936d33a650a96f8dc3d442911939dec3714d0f36439f1caa4b09a16c345c0af9
2020-12-01T10:47:00Z,grant,outgoing,ychad.eth,0x020171085bcd43b6FD36aD8C95aD61848B1211A2,8000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to milkyklim,0x936d33a650a96f8dc3d442911939dec3714d0f36439f1caa4b09a16c345c0af9
2020-12-01T10:47:00Z,grant,outgoing,ychad.eth,0x020171085bcd43b6FD36aD8C95aD61848B1211A2,12500,yyDAI+yUSDC+yUSDT+yTUSD,Donate to banteg,0x936d33a650a96f8dc3d442911939dec3714d0f36439f1caa4b09a16c345c0af9
2020-12-01T10:47:00Z,grant,outgoing,ychad.eth,0x020171085bcd43b6FD36aD8C95aD61848B1211A2,8000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to tracheopteryx,0x936d33a650a96f8dc3d442911939dec3714d0f36439f1caa4b09a16c345c0af9
2020-12-01T10:47:00Z,grant,outgoing,ychad.eth,0x020171085bcd43b6FD36aD8C95aD61848B1211A2,8000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to Luciano,0x936d33a650a96f8dc3d442911939dec3714d0f36439f1caa4b09a16c345c0af9
2020-12-01T10:47:00Z,grant,outgoing,ychad.eth,0x020171085bcd43b6FD36aD8C95aD61848B1211A2,0,YFI,Donate to Andre,0x936d33a650a96f8dc3d442911939dec3714d0f36439f1caa4b09a16c345c0af9
2020-12-01T10:47:00Z,grant,outgoing,ychad.eth,0x020171085bcd43b6FD36aD8C95aD61848B1211A2,12500,yyDAI+yUSDC+yUSDT+yTUSD,Donate to Doggie,0x936d33a650a96f8dc3d442911939dec3714d0f36439f1caa4b09a16c345c0af9
2020-12-01T10:47:00Z,grant,outgoing,ychad.eth,0x020171085bcd43b6FD36aD8C95aD61848B1211A2,8000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to Bull Trapper,0x936d33a650a96f8dc3d442911939dec3714d0f36439f1caa4b09a16c345c0af9
2020-12-01T10:47:00Z,grant,outgoing,ychad.eth,0x020171085bcd43b6FD36aD8C95aD61848B1211A2,8000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to Doug,0x936d33a650a96f8dc3d442911939dec3714d0f36439f1caa4b09a16c345c0af9
2020-12-01T10:47:00Z,grant,outgoing,ychad.eth,0x020171085bcd43b6FD36aD8C95aD61848B1211A2,8000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to x48,0x936d33a650a96f8dc3d442911939dec3714d0f36439f1caa4b09a16c345c0af9
2020-12-01T10:47:00Z,grant,outgoing,ychad.eth,0x020171085bcd43b6FD36aD8C95aD61848B1211A2,8000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to Daniel,0x936d33a650a96f8dc3d442911939dec3714d0f36439f1caa4b09a16c345c0af9
2020-12-01T10:47:00Z,grant,outgoing,ychad.eth,0x020171085bcd43b6FD36aD8C95aD61848B1211A2,3000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to Dark Ghosty,0x936d33a650a96f8dc3d442911939dec3714d0f36439f1caa4b09a16c345c0af9
2020-12-01T10:47:00Z,grant,outgoing,ychad.eth,0x020171085bcd43b6FD36aD8C95aD61848B1211A2,3000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to Facu Ameal,0x936d33a650a96f8dc3d442911939dec3714d0f36439f1caa4b09a16c345c0af9
