date,description,type,from,to,amount,currency,comment,tx_hash
2021-02-04T05:05:51Z,rebalance,none,ychad.eth,0xdCD90C7f6324cfa40d7169ef80b12031770B4325,0,ETH,Migrate strategy,0xc5a68ceed62ea6c0c98f721e8980f5125ceeb27b154c6efa26f468e1a1e605ef
2021-02-04T05:05:51Z,rebalance,none,0x99ac10631F69C753DDb595D074422a0922D9056B,0x182B723a58739a9c974cFDB385ceaDb237453c28,829.47530864197500000,LDO,,0xc5a68ceed62ea6c0c98f721e8980f5125ceeb27b154c6efa26f468e1a1e605ef
2021-02-04T05:05:51Z,rebalance,none,0x182B723a58739a9c974cFDB385ceaDb237453c28,0x997a498E72d4225F0D78540B6ffAbb6cA869edc9,826.536370685164000000,LDO,,0xc5a68ceed62ea6c0c98f721e8980f5125ceeb27b154c6efa26f468e1a1e605ef
2021-02-04T05:05:51Z,rebalance,none,0x0000000000000000000000000000000000000000,0x997a498E72d4225F0D78540B6ffAbb6cA869edc9,50.480700197187800000,CRV,,0xc5a68ceed62ea6c0c98f721e8980f5125ceeb27b154c6efa26f468e1a1e605ef
2021-02-04T05:05:51Z,rebalance,none,0x997a498E72d4225F0D78540B6ffAbb6cA869edc9,0x454F11D58E27858926d7a4ECE8bfEA2c33E97B13,826.536370685164000000,LDO,,0xc5a68ceed62ea6c0c98f721e8980f5125ceeb27b154c6efa26f468e1a1e605ef
2021-02-04T05:05:51Z,rebalance,none,0x454F11D58E27858926d7a4ECE8bfEA2c33E97B13,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1.510527325318610000,WETH,,0xc5a68ceed62ea6c0c98f721e8980f5125ceeb27b154c6efa26f468e1a1e605ef
2021-02-04T05:05:51Z,rebalance,none,0x997a498E72d4225F0D78540B6ffAbb6cA869edc9,0x3dA1313aE46132A397D90d95B1424A9A7e3e0fCE,50.480700197187800000,CRV,,0xc5a68ceed62ea6c0c98f721e8980f5125ceeb27b154c6efa26f468e1a1e605ef
2021-02-04T05:05:51Z,rebalance,none,0x3dA1313aE46132A397D90d95B1424A9A7e3e0fCE,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0.08687348817386370,WETH,,0xc5a68ceed62ea6c0c98f721e8980f5125ceeb27b154c6efa26f468e1a1e605ef
2021-02-04T05:05:51Z,rebalance,none,0x997a498E72d4225F0D78540B6ffAbb6cA869edc9,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,1E-18,stETH,,0xc5a68ceed62ea6c0c98f721e8980f5125ceeb27b154c6efa26f468e1a1e605ef
2021-02-04T05:05:51Z,rebalance,none,0x0000000000000000000000000000000000000000,0x997a498E72d4225F0D78540B6ffAbb6cA869edc9,1.598505085180200000,steCRV,,0xc5a68ceed62ea6c0c98f721e8980f5125ceeb27b154c6efa26f468e1a1e605ef
2021-02-04T05:05:51Z,rebalance,none,0x99ac10631F69C753DDb595D074422a0922D9056B,0x182B723a58739a9c974cFDB385ceaDb237453c28,12416.074893485400000000,steCRV,,0xc5a68ceed62ea6c0c98f721e8980f5125ceeb27b154c6efa26f468e1a1e605ef
2021-02-04T05:05:51Z,rebalance,none,0x182B723a58739a9c974cFDB385ceaDb237453c28,0x997a498E72d4225F0D78540B6ffAbb6cA869edc9,12416.074893485400000000,steCRV,,0xc5a68ceed62ea6c0c98f721e8980f5125ceeb27b154c6efa26f468e1a1e605ef
2021-02-04T05:05:51Z,rebalance,none,0x997a498E72d4225F0D78540B6ffAbb6cA869edc9,0x0000000000000000000000000000000000000000,12416.074893485400000000,steCRV-gauge,,0xc5a68ceed62ea6c0c98f721e8980f5125ceeb27b154c6efa26f468e1a1e605ef
2021-02-04T05:05:51Z,rebalance,none,0x997a498E72d4225F0D78540B6ffAbb6cA869edc9,0xebfC9451d19E8dbf36AAf547855b4dC789CA793C,12417.673398570600000000,steCRV,,0xc5a68ceed62ea6c0c98f721e8980f5125ceeb27b154c6efa26f468e1a1e605ef
2021-02-05T13:22:42Z,airdrop,incoming,0x0000000000000000000000000000000000000000,ychad.eth,6666,YFI,Mint YFI,0x21a3007a2547a9d6f1bceb44cb9292b36079fcccd8f36f7ec1ca066db261e153
2021-02-08T06:16:51Z,grant,outgoing,ychad.eth,andrecronje.eth,100,COVER,Send donated COVER to Andre,0xc94efdcc1d0208e3f0e037e9b0f619c60f2d82228f55f1814feb8b5ebb94a12e
2021-02-08T06:21:06Z,grant,outgoing,ychad.eth,0x5dbcF33D8c2E976c6b560249878e6F1491Bca25c,0,ETH,Appreciate disclosure,0x03043a102209002f494c5fd870401e4060b1a4083b7308096fce1d59f13bc2b5
2021-02-08T06:21:06Z,grant,outgoing,ychad.eth,0x2ACf2C693Ba9AEd9080bdc186bf749F9442d9F57,500,yyDAI+yUSDC+yUSDT+yTUSD,,0x03043a102209002f494c5fd870401e4060b1a4083b7308096fce1d59f13bc2b5
2021-02-08T16:38:33Z,payment,outgoing,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,0,ETH,Pay Alchemy,0x4de98ec72929eeda2f46ce867698bdc90929b4579d16198d609de7f6601dc90f
2021-02-08T16:38:33Z,payment,outgoing,ychad.eth,0xB0880df8420974ef1b040111e5e0e95f05F8fee1,12461.327236956000,yyDAI+yUSDC+yUSDT+yTUSD,,0x4de98ec72929eeda2f46ce867698bdc90929b4579d16198d609de7f6601dc90f
2021-02-08T16:38:33Z,payment,outgoing,0xB0880df8420974ef1b040111e5e0e95f05F8fee1,0x0000000000000000000000000000000000000000,12461.327236956000,yyDAI+yUSDC+yUSDT+yTUSD,,0x4de98ec72929eeda2f46ce867698bdc90929b4579d16198d609de7f6601dc90f
2021-02-08T16:38:33Z,payment,outgoing,0xFA712EE4788C042e2B7BB55E6cb8ec569C4530c1,0xF147b8125d2ef93FB6965Db97D6746952a133934,14281.386246122100000000,yDAI+yUSDC+yUSDT+yTUSD,,0x4de98ec72929eeda2f46ce867698bdc90929b4579d16198d609de7f6601dc90f
