date,description,type,from,to,amount,currency,comment,tx_hash
2021-03-01T02:53:59Z,airdrop,incoming,0xaCfE4511CE883C14c4eA40563F176C3C09b4c47C,ychad.eth,0.25,ETH,"Reimburse Ryan, Larry the Pickle",0x6bad2bec1aff650670d3acc0b833d0e2610666b499293ebe2bedea925586cd9a
2021-03-03T13:55:19Z,rebalance,none,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,0,ETH,Swap tokens,0xc1ab4ccb2760747d8e0835f86ec2fa00611fa060b4976e94b4d18e66220b53f4
2021-03-03T13:55:19Z,rebalance,none,ychad.eth,0xB0880df8420974ef1b040111e5e0e95f05F8fee1,7200,y3Crv,,0xc1ab4ccb2760747d8e0835f86ec2fa00611fa060b4976e94b4d18e66220b53f4
2021-03-03T13:55:19Z,rebalance,none,0xB0880df8420974ef1b040111e5e0e95f05F8fee1,0x0000000000000000000000000000000000000000,7200,y3Crv,,0xc1ab4ccb2760747d8e0835f86ec2fa00611fa060b4976e94b4d18e66220b53f4
2021-03-03T13:55:19Z,rebalance,none,0x9cA85572E6A3EbF24dEDd195623F188735A5179f,0xB0880df8420974ef1b040111e5e0e95f05F8fee1,7666.539102629420000000,3Crv,,0xc1ab4ccb2760747d8e0835f86ec2fa00611fa060b4976e94b4d18e66220b53f4
2021-03-03T13:55:19Z,rebalance,none,0xB0880df8420974ef1b040111e5e0e95f05F8fee1,0xA3061Cf6aC1423c6F40917AD49602cBA187181Dc,7666.539102629420000000,3Crv,,0xc1ab4ccb2760747d8e0835f86ec2fa00611fa060b4976e94b4d18e66220b53f4
2021-03-03T13:55:19Z,rebalance,none,0xA3061Cf6aC1423c6F40917AD49602cBA187181Dc,0x0000000000000000000000000000000000000000,7666.539102629420000000,3Crv,,0xc1ab4ccb2760747d8e0835f86ec2fa00611fa060b4976e94b4d18e66220b53f4
2021-03-03T13:55:19Z,rebalance,none,0xbEbc44782C7dB0a1A60Cb6fe97d0b483032FF1C7,0xA3061Cf6aC1423c6F40917AD49602cBA187181Dc,7774.905043,USDC,,0xc1ab4ccb2760747d8e0835f86ec2fa00611fa060b4976e94b4d18e66220b53f4
2021-03-03T13:55:19Z,rebalance,none,0xA3061Cf6aC1423c6F40917AD49602cBA187181Dc,ychad.eth,7774.905043,USDC,,0xc1ab4ccb2760747d8e0835f86ec2fa00611fa060b4976e94b4d18e66220b53f4
2021-03-03T13:55:19Z,payment,outgoing,ychad.eth,0x2BEa6B6332F7a1aCC2F2C67c5Fb179Ae672970FC,2919,USDC,Donate to UI,0xc1ab4ccb2760747d8e0835f86ec2fa00611fa060b4976e94b4d18e66220b53f4
2021-03-03T13:55:19Z,payment,outgoing,ychad.eth,0x97a3211908d337e399b6822ecB20CCa1E2038074,7089,USDC,Donate to UX,0xc1ab4ccb2760747d8e0835f86ec2fa00611fa060b4976e94b4d18e66220b53f4
2021-03-03T14:09:44Z,grant,outgoing,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,0,ETH,Send grants,0x531a4ee89e99042b6c2c3ade6cc999e8ec01c9963e251dd6ed5361c142d17018
2021-03-03T14:09:44Z,grant,outgoing,ychad.eth,ybaby.eth,12500,y3Crv,Donate to banteg,0x531a4ee89e99042b6c2c3ade6cc999e8ec01c9963e251dd6ed5361c142d17018
2021-03-03T14:09:44Z,grant,outgoing,ychad.eth,yfi.milkyklim.eth,8000,y3Crv,Donate to milky klim,0x531a4ee89e99042b6c2c3ade6cc999e8ec01c9963e251dd6ed5361c142d17018
2021-03-03T14:09:44Z,grant,outgoing,ychad.eth,0x1138DA90Fb90cEaded062ba8d22324A6737182c7,8000,y3Crv,Donate to Daniel,0x531a4ee89e99042b6c2c3ade6cc999e8ec01c9963e251dd6ed5361c142d17018
2021-03-03T14:09:44Z,grant,outgoing,ychad.eth,tracheopteryx.eth,8000,y3Crv,Donate to tracheopteryx,0x531a4ee89e99042b6c2c3ade6cc999e8ec01c9963e251dd6ed5361c142d17018
2021-03-03T14:09:44Z,grant,outgoing,ychad.eth,lucho.eth,8000,y3Crv,Donate to Luciano,0x531a4ee89e99042b6c2c3ade6cc999e8ec01c9963e251dd6ed5361c142d17018
2021-03-03T14:09:44Z,grant,outgoing,ychad.eth,0x1C277bD41A276F87D3E92bccD50c7364aa2FFc69,12500,y3Crv,Donate to Doggie,0x531a4ee89e99042b6c2c3ade6cc999e8ec01c9963e251dd6ed5361c142d17018
2021-03-03T14:09:44Z,grant,outgoing,ychad.eth,0x05f9E07AFCcD4ea69310e316f4c5Ef81Ed3ED9c8,8000,y3Crv,Donate to Doug,0x531a4ee89e99042b6c2c3ade6cc999e8ec01c9963e251dd6ed5361c142d17018
