date,description,type,from,to,amount,currency,comment,tx_hash
2020-09-04T19:14:39Z,grant,outgoing,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,0,ETH,Send grants,0x060fb3e80f57ed40cf7374b9e2c4401ce106d92d8d9994b7608e7fe3f28f97ea
2020-09-04T19:14:39Z,grant,outgoing,ychad.eth,yfi.banteg.eth,8000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to banteg,0x060fb3e80f57ed40cf7374b9e2c4401ce106d92d8d9994b7608e7fe3f28f97ea
2020-09-04T19:14:39Z,grant,outgoing,ychad.eth,yfi.milkyklim.eth,8000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to milkyklim,0x060fb3e80f57ed40cf7374b9e2c4401ce106d92d8d9994b7608e7fe3f28f97ea
2020-09-04T19:14:39Z,grant,outgoing,ychad.eth,tracheopteryx.eth,8000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to tracheopteryx,0x060fb3e80f57ed40cf7374b9e2c4401ce106d92d8d9994b7608e7fe3f28f97ea
2020-09-04T19:14:39Z,grant,outgoing,ychad.eth,0xE89bD48a519706E599e6C3e8Fa41b89Ef13e3979,7000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to Kirby,0x060fb3e80f57ed40cf7374b9e2c4401ce106d92d8d9994b7608e7fe3f28f97ea
2020-09-04T19:14:39Z,grant,outgoing,ychad.eth,0x071243c8f33A3e7c15499a8E51fF852DbaF05854,7000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to Bull Trapper,0x060fb3e80f57ed40cf7374b9e2c4401ce106d92d8d9994b7608e7fe3f28f97ea
2020-09-04T19:14:39Z,grant,outgoing,ychad.eth,0x44d72B5A773332935046c62A34a9F1DC072d9Cb7,3000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to Gismar,0x060fb3e80f57ed40cf7374b9e2c4401ce106d92d8d9994b7608e7fe3f28f97ea
2020-09-04T19:14:39Z,grant,outgoing,ychad.eth,oniichan.eth,3000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to Dark Ghosty,0x060fb3e80f57ed40cf7374b9e2c4401ce106d92d8d9994b7608e7fe3f28f97ea
2020-09-04T19:14:39Z,grant,outgoing,ychad.eth,0x334CE923420ff1aA4f272e92BF68013D092aE7B4,3000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to Facu Ameal,0x060fb3e80f57ed40cf7374b9e2c4401ce106d92d8d9994b7608e7fe3f28f97ea
2020-09-04T19:14:39Z,grant,outgoing,ychad.eth,0x7C5D550fbB1A3B37e4e893c1B1673eaD320DC548,8000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to Doggie,0x060fb3e80f57ed40cf7374b9e2c4401ce106d92d8d9994b7608e7fe3f28f97ea
2020-09-04T19:14:39Z,grant,outgoing,ychad.eth,0x6446e303336114C020f9F0Ae6C3a3b0beb603974,3000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to x48,0x060fb3e80f57ed40cf7374b9e2c4401ce106d92d8d9994b7608e7fe3f28f97ea
2020-09-06T23:00:54Z,grant,outgoing,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,0,ETH,Reimburse gas,0x06b1bbe4b78a25a38dedc0773835d01b9de8276554caeb3679fa83e5b7c6c0eb
2020-09-06T23:00:54Z,grant,outgoing,0x93A62dA5a14C80f265DAbC077fCEE437B1a0Efde,ychad.eth,265.85165189571,WETH,,0x06b1bbe4b78a25a38dedc0773835d01b9de8276554caeb3679fa83e5b7c6c0eb
2020-09-06T23:00:54Z,grant,outgoing,ychad.eth,andrecronje.eth,265.85165189571,WETH,,0x06b1bbe4b78a25a38dedc0773835d01b9de8276554caeb3679fa83e5b7c6c0eb
2020-09-06T23:00:54Z,grant,outgoing,0x93A62dA5a14C80f265DAbC077fCEE437B1a0Efde,ychad.eth,265.85165189571,WETH,,0x06b1bbe4b78a25a38dedc0773835d01b9de8276554caeb3679fa83e5b7c6c0eb
2020-09-06T23:01:20Z,help,incoming,ychad.eth,0x93A62dA5a14C80f265DAbC077fCEE437B1a0Efde,0,ETH,Save tokens,0x0c7d5f0c17018052347d90a6be731fd9901ae0848c40fcaea29e3bd3d14492d7
2020-09-06T23:01:20Z,help,incoming,0x93A62dA5a14C80f265DAbC077fCEE437B1a0Efde,ychad.eth,72794.906198209400000000,CRV,,0x0c7d5f0c17018052347d90a6be731fd9901ae0848c40fcaea29e3bd3d14492d7
2020-09-06T23:01:20Z,help,incoming,0x93A62dA5a14C80f265DAbC077fCEE437B1a0Efde,ychad.eth,72794.906198209400000000,CRV,,0x0c7d5f0c17018052347d90a6be731fd9901ae0848c40fcaea29e3bd3d14492d7
2020-09-06T23:02:32Z,help,outgoing,ychad.eth,0xD533a949740bb3306d119CC777fa900bA034cd52,0,ETH,Save tokens,0x3d085bb1e0a88046e7639d623b2db4cbfa866bb3fde70e28ca7c0aa1a5b169db
2020-09-06T23:02:32Z,help,outgoing,ychad.eth,0xF147b8125d2ef93FB6965Db97D6746952a133934,72794.906198209400000000,CRV,,0x3d085bb1e0a88046e7639d623b2db4cbfa866bb3fde70e28ca7c0aa1a5b169db
2020-09-07T19:44:49Z,payment,outgoing,ychad.eth,0x5dbcF33D8c2E976c6b560249878e6F1491Bca25c,0,ETH,Reimburse UI bug,0x7efc0dcc1f7711e0169084c646a618c8096341f4b05502cdb4d67f9f8f09e186
