date,description,type,from,to,amount,currency,comment,tx_hash
2020-10-07T18:09:10Z,rebalance,none,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,0,ETH,Swap USDC to ETH,0x1226df62105970ae7901a1caf966cc61e1be251b251a50467067a9f0c2614bf8
2020-10-07T18:09:10Z,rebalance,none,ychad.eth,0x6317C5e82A06E1d8bf200d21F4510Ac2c038AC81,405.97,USDC,,0x1226df62105970ae7901a1caf966cc61e1be251b251a50467067a9f0c2614bf8
2020-10-07T18:09:10Z,rebalance,none,0x6317C5e82A06E1d8bf200d21F4510Ac2c038AC81,0x68A241796628eCf44e48f0533fb00D07DD3419d2,261.500069,USDC,,0x1226df62105970ae7901a1caf966cc61e1be251b251a50467067a9f0c2614bf8
2020-10-07T18:09:10Z,rebalance,none,0x68A241796628eCf44e48f0533fb00D07DD3419d2,0x6317C5e82A06E1d8bf200d21F4510Ac2c038AC81,0.775095327577219000,WETH,,0x1226df62105970ae7901a1caf966cc61e1be251b251a50467067a9f0c2614bf8
2020-10-07T18:09:10Z,rebalance,none,0x6317C5e82A06E1d8bf200d21F4510Ac2c038AC81,0x5311b0BfD1EB656522eF75eA4D22Ce8bCfA6fd42,115.403088,USDC,,0x1226df62105970ae7901a1caf966cc61e1be251b251a50467067a9f0c2614bf8
2020-10-07T18:09:10Z,rebalance,none,0x5311b0BfD1EB656522eF75eA4D22Ce8bCfA6fd42,0x6317C5e82A06E1d8bf200d21F4510Ac2c038AC81,0.341623435101840000,WETH,,0x1226df62105970ae7901a1caf966cc61e1be251b251a50467067a9f0c2614bf8
2020-10-07T18:09:10Z,rebalance,none,0x6317C5e82A06E1d8bf200d21F4510Ac2c038AC81,0x9B208194Acc0a8cCB2A8dcafEACfbB7dCc093F81,29.066843,USDC,,0x1226df62105970ae7901a1caf966cc61e1be251b251a50467067a9f0c2614bf8
2020-10-07T18:09:10Z,rebalance,none,0x9B208194Acc0a8cCB2A8dcafEACfbB7dCc093F81,0x6317C5e82A06E1d8bf200d21F4510Ac2c038AC81,0.085975566386824900,WETH,,0x1226df62105970ae7901a1caf966cc61e1be251b251a50467067a9f0c2614bf8
2020-10-07T18:09:10Z,rebalance,none,0x6317C5e82A06E1d8bf200d21F4510Ac2c038AC81,ychad.eth,0,USDC,,0x1226df62105970ae7901a1caf966cc61e1be251b251a50467067a9f0c2614bf8
2020-10-07T18:09:10Z,rebalance,none,0x6317C5e82A06E1d8bf200d21F4510Ac2c038AC81,ychad.eth,1.20269432906588000,ETH,,0x1226df62105970ae7901a1caf966cc61e1be251b251a50467067a9f0c2614bf8
2020-10-07T19:04:19Z,grant,outgoing,ychad.eth,0x1ea056C13F8ccC981E51c5f1CDF87476666D0A74,1.20269432906588000,ETH,Subsidize harvest() gas,0xc3decec190c636ca6ea8ebc8879d8ff541cb02b9e68030cf2b70d307b0f94e2c
2020-10-08T16:43:18Z,help,none,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,0,ETH,,0xa0551d7d42905fe6271f3a6f11acf402f5f5e7658767077ec54622b605717c55
2020-10-08T16:43:18Z,help,none,0xFA712EE4788C042e2B7BB55E6cb8ec569C4530c1,0xc999fb87AcA383A63D804A575396F65A55aa5aC8,196220778.969409000000000000,yDAI+yUSDC+yUSDT+yTUSD,Move yCRV tokens around,0xa0551d7d42905fe6271f3a6f11acf402f5f5e7658767077ec54622b605717c55
2020-10-08T16:43:18Z,help,none,0xc999fb87AcA383A63D804A575396F65A55aa5aC8,0x5dbcF33D8c2E976c6b560249878e6F1491Bca25c,196220778.969409000000000000,yDAI+yUSDC+yUSDT+yTUSD,,0xa0551d7d42905fe6271f3a6f11acf402f5f5e7658767077ec54622b605717c55
2020-10-09T19:28:10Z,airdrop,incoming,0x94BAc24A28671Dfd7dC4E69D1010426aa5DFc7a0,ychad.eth,125,JNTR/e,,0x62b61ae7d7a18c84072db3494117c5f51c68f5bced37c54e17edd5b2771bb627
2020-10-10T08:38:15Z,help,none,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,0,ETH,,0x0cc87da9ca29611c0a55fe13a851357fa094309059b19322cc6fb056b39f00d6
2020-10-10T08:38:15Z,help,none,0x69Fb7c45726cfE2baDeE8317005d3F94bE838840,0xb15Ee8e74dac2d77F9d1080B32B0F3562954aeE9,3563360.125556170000000000,yDAI+yUSDC+yUSDT+yBUSD,Move BUSD tokens around,0x0cc87da9ca29611c0a55fe13a851357fa094309059b19322cc6fb056b39f00d6
2020-10-10T08:38:15Z,help,none,0xb15Ee8e74dac2d77F9d1080B32B0F3562954aeE9,0x2994529C0652D127b7842094103715ec5299bBed,3563360.125556170000000000,yDAI+yUSDC+yUSDT+yBUSD,,0x0cc87da9ca29611c0a55fe13a851357fa094309059b19322cc6fb056b39f00d6
2020-10-10T13:18:47Z,help,incoming,reasonablysizedrabbit.eth,ychad.eth,34352.419939325100000000,CRV,,0x687178f8f7cce035526acfe94e67773f387cb49de57ef34802f77c08b9076969
2020-10-11T16:47:04Z,help,none,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,0,ETH,,0xa15d40d569138f4a4a0da7e561d2efdbd51ad9d32697dc52480dcf5191cba699
2020-10-11T16:47:04Z,help,none,0x69Fb7c45726cfE2baDeE8317005d3F94bE838840,0xF147b8125d2ef93FB6965Db97D6746952a133934,5069389.037382540000000000,yDAI+yUSDC+yUSDT+yBUSD,Move BUSD tokens around,0xa15d40d569138f4a4a0da7e561d2efdbd51ad9d32697dc52480dcf5191cba699
2020-10-11T16:47:04Z,help,none,0xF147b8125d2ef93FB6965Db97D6746952a133934,0xb9098DA5f8633999703F86385e3CE3a4564970d0,5069389.037382540000000000,yDAI+yUSDC+yUSDT+yBUSD,,0xa15d40d569138f4a4a0da7e561d2efdbd51ad9d32697dc52480dcf5191cba699
2020-10-11T16:47:04Z,help,none,0xb9098DA5f8633999703F86385e3CE3a4564970d0,0x2994529C0652D127b7842094103715ec5299bBed,5069389.037382540000000000,yDAI+yUSDC+yUSDT+yBUSD,,0xa15d40d569138f4a4a0da7e561d2efdbd51ad9d32697dc52480dcf5191cba699
2020-10-11T19:11:46Z,help,none,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,0,ETH,,0xec26cb3270f6502eda423e68287b86de2f018b5307ccf30a483827dc6753c031
